Model Tested,responses,mean_accuracy,sd_accuracy,any_fabrication,severe_fabrication,mean_narrative_substitution,geography_conflation,any_fabrication_pct,severe_fabrication_pct,geography_conflation_pct
ChatGPT,77,1.5454545454545454,1.2090171578758828,0.5584415584415584,0.23376623376623376,0.025974025974025976,0.0,55.84415584415584,23.376623376623375,0.0
Gemini,77,2.3636363636363638,1.4859791288210833,0.5844155844155844,0.2727272727272727,0.07792207792207792,0.0,58.44155844155844,27.27272727272727,0.0
Claude,77,0.36363636363636365,1.0248118044059413,0.05194805194805195,0.03896103896103896,0.012987012987012988,0.0,5.194805194805195,3.896103896103896,0.0
DeepSeek,77,0.7272727272727273,1.3439568801467474,0.22077922077922077,0.06493506493506493,0.025974025974025976,0.0,22.07792207792208,6.493506493506493,0.0
